Ev(kJ/mol),Rv(A),x,y,z
-4.656385289560185,4.632,25.689,14.803,1.825
-4.497381598193479,4.357,25.844,14.445,1.383
-8.252768491844522,3.368,33.728,19.45,14.121
-4.604307990507466,4.441,34.855,20.125,14.332
-5.8639037281253525,4.036,34.399,19.843,14.059
-10.27859432765075,2.100,24.633,12.617,0.05
-8.80266509858128,3.004,24.071,13.895,1.542
-6.130822231860676,3.722,34.468,19.458,14.237
-11.549664643954689,2.555,33.013,19.056,14.782
-4.999215031202636,4.317,34.705,20.029,14.18
-3.8243490045492177,5.083,26.197,15.11,1.416
-10.524204099562649,2.624,23.826,13.775,0.033
-4.414633305336782,4.420,34.881,20.154,14.642
-3.8484308676019587,4.663,25.873,14.942,0.187
-4.242241695612256,4.508,34.984,20.195,14.672
-4.764628327380898,4.410,34.808,20.092,14.223
-18.375709203093415,2.634,32.374,18.686,13.23
-19.443098383052007,2.272,32.235,18.309,13.288
-16.38960828868723,1.986,32.441,18.039,13.522
-19.658524113598034,2.498,32.213,18.523,13.197
-19.16356775678794,2.558,32.28,18.592,13.206
-10.933819649584738,3.182,33.341,19.229,13.636
-11.15492963105968,2.040,33.692,17.868,14.294
-9.837339793047608,2.688,33.993,18.487,14.257
-6.948140235498213,3.771,34.101,19.658,13.926
-7.7499390307735885,3.623,33.912,19.561,13.85
-6.184662309579776,3.953,34.303,19.788,14.015
-21.44492429724202,2.192,31.685,18.081,13.025
-9.950914758674962,1.996,25.573,11.948,1.109
-10.15303266475267,2.078,25.573,12.044,1.121
-7.847505168818439,3.163,8.61,12.204,0.967
-8.346605688419832,3.032,8.537,12.088,0.959
-10.203248843220697,2.245,8.018,11.621,0.099
-4.369863937786457,4.496,9.311,13.466,0.709
-4.309015938739844,4.480,9.019,13.636,1.05
-4.773628902204817,4.400,9.288,13.301,0.995
-4.153324778539881,4.662,9.313,13.664,0.869
-4.664240947854043,4.451,9.314,13.353,0.972
-4.280243608143626,4.510,9.062,13.646,1.028
-4.568369337623977,4.489,9.314,13.408,0.961
-4.057303537102485,4.770,18.44,19.21,13.819
-7.335467978251121,2.965,17.576,17.671,14.386
-3.7571066692864807,4.752,17.679,19.782,13.979
-4.029718704453343,4.802,18.458,19.237,13.817
-3.77342744365239,5.134,18.624,19.545,13.825
-7.255237956623317,2.996,17.578,17.697,14.336
-3.812517854754083,5.086,18.615,19.499,13.803
-9.35631107997999,2.429,16.377,17.784,14.102
-3.938775234953724,4.762,35.298,20.325,14.372
-3.2715628737568414,5.296,9.324,14.533,0.565
-4.131080910013485,4.540,35.449,19.991,14.137
-3.7244334205586127,4.785,18.634,19.263,14.755
-3.9299279766066952,4.792,35.277,20.368,14.403
-3.908409302663056,4.627,18.63,19.078,15.193
-3.7320631024261357,4.821,17.867,19.73,13.944
-3.6725504521074437,4.949,18.631,19.414,14.307
-4.006205098871158,4.569,8.703,13.978,1.133
-3.5753490463541544,4.892,17.666,19.974,14.112
-2.8170565022525915,6.414,18.631,21.294,15.046
-3.4042891820255665,5.167,35.719,20.631,14.587
-2.944175426941214,5.804,27.336,15.529,0.599
-3.752447632567503,5.139,26.253,15.16,1.369
-3.314147406373106,5.252,9.324,14.476,0.585
-3.733599608309872,5.096,26.323,15.081,1.368
-3.7444761052616413,4.879,26.598,14.731,1.321
-3.7877388044165556,5.119,26.233,15.141,1.395
-2.871128580325457,6.120,27.448,15.843,0.419
-2.812984526281637,6.454,18.631,21.337,15.077
-2.823911083864133,6.369,18.631,21.236,15.005
-3.1033094402066217,5.657,18.63,20.328,14.37
-3.500561417033995,5.294,18.629,19.799,14.006
-2.8056061128615646,6.593,27.936,16.127,0.014
-3.724259307525478,5.091,10.922,15.07,1.345
-3.4373517042879165,5.077,9.484,14.357,0.724
-4.345154420452646,4.483,9.574,13.607,1.049
-3.867709876032168,4.947,11.075,14.969,1.352
-6.0208533896488845,3.566,10.072,12.811,1.023
-4.232117632112684,4.508,9.666,13.713,1.07
-3.7247483979997837,4.843,9.518,14.069,0.849
-6.61427066907425,3.294,11.936,13.484,1.309
-3.961388630898177,4.766,11.251,14.879,1.181
-3.829071447433348,5.055,11.088,15.09,1.371
-3.8216937726696294,5.003,11.125,15.068,1.281
-4.631737649409282,4.396,9.328,13.325,0.805
-4.56078688422114,4.066,19.056,18.652,14.599
-4.766483411578628,4.398,9.32,13.304,0.988
-8.967226563406438,2.727,10.263,11.919,0.578
-3.339844015023541,5.214,9.359,14.45,0.615
-4.706160837862578,4.429,9.346,13.345,1.003
-4.6257706504328056,4.424,9.424,13.404,1.027
-4.568177259944913,4.437,9.448,13.442,1.031
-4.744084903728838,4.415,9.346,13.324,1.007
-17.079362758991543,2.250,15.573,10.917,3.926
-17.1990777812648,2.285,15.558,10.931,3.96
-16.910675336339644,2.339,15.08,11.562,3.82
-16.72713303232391,2.417,15.05,11.675,3.853
-16.82642116519597,2.430,15.131,11.592,3.908
-16.624912323986294,2.460,15.058,11.708,3.885
-10.173041841220911,3.500,13.386,13.698,3.23
-13.725622623180492,2.996,14.415,12.729,3.85
-11.155763689308577,3.361,13.631,13.474,3.408
-12.16454917509224,3.154,13.873,13.171,3.525
-15.479337825196573,2.670,14.831,12.12,3.909
-13.613578009465085,3.018,14.388,12.772,3.839
-3.823331417620817,4.929,11.18,15.035,1.161
-10.337094448303358,2.037,13.822,13.204,1.078
-4.0541121931794715,4.652,11.428,14.891,1.012
-9.464580263190372,3.665,13.2,13.9,3.151
-9.11732779036105,2.869,13.224,13.86,1.141
-5.506471393347769,4.340,11.938,14.586,2.158
-9.269173921822627,3.690,13.14,13.934,3.106
-4.941393133886618,4.536,11.708,14.742,1.96
-5.7179053217154765,4.294,12.031,14.56,2.225
